video_id,method,query,start,end,score,best_iou,matched_gt,matched_subjectivity
TVSUM_29,Moment-DETR,The host introduces the Chinese New Year parade in Vancouver's Chinatown on Feb 10th,152.0,156.0,0.01,0.057971014492753624,A traditional dragon dance moves through the streets along the main parade route,2.0
TVSUM_29,Moment-DETR,the moment when the host introduces the chinese new year parade in vancouver's chinatown on feb 10th,190.0,194.0,0.01,0.057971014492753624,A traditional dragon dance moves through the streets along the main parade route,2.0
TVSUM_29,Moment-DETR,video segment showing the host introduces the chinese new year parade in vancouver's chinatown on feb 10th,268.0,272.0,0.01,0.1111111111111111,A group of dancers performs an elegant walking procession,0.0
TVSUM_29,Moment-DETR,the event in which the host introduces the chinese new year parade in vancouver's chinatown on feb 10th,319.0,323.0,0.01,0.0,,
TVSUM_29,Moment-DETR,a scene where the host introduces the chinese new year parade in vancouver's chinatown on feb 10th,553.0,557.0,0.01,0.046511627906976744,"The host captures the vibe, highlights the energy and the historical depth of the event",1.0
TVSUM_29,Moment-DETR,a scene where a traditional dragon dance moves through the streets along the main parade route,80.0,84.0,0.01,0.0,,
TVSUM_29,Moment-DETR,A traditional dragon dance moves through the streets along the main parade route,91.0,95.0,0.01,0.0,,
TVSUM_29,Moment-DETR,video segment showing a traditional dragon dance moves through the streets along the main parade route,218.0,222.0,0.01,0.0,,
TVSUM_29,Moment-DETR,the moment when a traditional dragon dance moves through the streets along the main parade route,291.0,295.0,0.01,0.0,,
TVSUM_29,Moment-DETR,the event in which a traditional dragon dance moves through the streets along the main parade route,459.0,463.0,0.01,0.0,,
TVSUM_29,Moment-DETR,video segment showing a group of dancers performs an elegant walking procession,4.0,8.0,0.01,0.0,,
TVSUM_29,Moment-DETR,the event in which a group of dancers performs an elegant walking procession,123.0,127.0,0.01,0.0,,
TVSUM_29,Moment-DETR,the moment when a group of dancers performs an elegant walking procession,262.0,266.0,0.01,0.1111111111111111,A group of dancers performs an elegant walking procession,0.0
TVSUM_29,Moment-DETR,a scene where a group of dancers performs an elegant walking procession,295.0,299.0,0.01,0.0,,
TVSUM_29,Moment-DETR,A group of dancers performs an elegant walking procession,366.0,370.0,0.01,0.07547169811320754,A dance crew performs formation using traditional Chinese hand fans,1.0
TVSUM_29,Moment-DETR,video segment showing a dance crew performs formation using traditional chinese hand fans,42.0,46.0,0.01,0.0,,
TVSUM_29,Moment-DETR,the event in which a dance crew performs formation using traditional chinese hand fans,58.0,62.0,0.01,0.0,,
TVSUM_29,Moment-DETR,A dance crew performs formation using traditional Chinese hand fans,109.0,113.0,0.01,0.0,,
TVSUM_29,Moment-DETR,the moment when a dance crew performs formation using traditional chinese hand fans,126.0,130.0,0.01,0.0,,
TVSUM_29,Moment-DETR,a scene where a dance crew performs formation using traditional chinese hand fans,393.0,397.0,0.01,0.0,,
TVSUM_29,Moment-DETR,"the moment when the host captures the vibe, highlights the energy and the historical depth of the event",73.0,77.0,0.01,0.0,,
TVSUM_29,Moment-DETR,"The host captures the vibe, highlights the energy and the historical depth of the event",158.0,162.0,0.01,0.057971014492753624,A traditional dragon dance moves through the streets along the main parade route,2.0
TVSUM_29,Moment-DETR,"video segment showing the host captures the vibe, highlights the energy and the historical depth of the event",257.0,261.0,0.01,0.1111111111111111,A group of dancers performs an elegant walking procession,0.0
TVSUM_29,Moment-DETR,"a scene where the host captures the vibe, highlights the energy and the historical depth of the event",474.0,478.0,0.01,0.0,,
TVSUM_29,Moment-DETR,"the event in which the host captures the vibe, highlights the energy and the historical depth of the event",572.0,576.0,0.01,0.046511627906976744,"The host captures the vibe, highlights the energy and the historical depth of the event",1.0
