video_id,method,query,query_length,best_iou,failure_type,matched_gt
TVSUM_31,Moment-DETR,the event in which the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,24,0.11764705882352941,missed_or_bad_boundary,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict
TVSUM_31,Moment-DETR,video segment showing the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,23,0.1,missed_or_bad_boundary,A scene shows mothers holding their children to represent the emotional toll on families affected by the conflict
TVSUM_31,Moment-DETR,the moment when the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,23,0.2857142857142857,missed_or_bad_boundary,The camera captures the crowd's somber reaction as onlookers process the intense message
TVSUM_31,Moment-DETR,The 'Silence is Betrayal' campaign opens with a powerful introduction setting the stage for the Sydney Flash Mob for Syria,20,0.2,missed_or_bad_boundary,The camera captures the crowd's somber reaction as onlookers process the intense message
TVSUM_31,Moment-DETR,a scene where the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,23,0.13333333333333333,missed_or_bad_boundary,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference
TVSUM_31,Moment-DETR,the event in which performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,22,0.14285714285714285,missed_or_bad_boundary,The 'Silence is Betrayal' campaign opens with a powerful introduction setting the stage for the Sydney Flash Mob for Syria
TVSUM_31,Moment-DETR,video segment showing performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,21,0.2857142857142857,missed_or_bad_boundary,The camera captures the crowd's somber reaction as onlookers process the intense message
TVSUM_31,Moment-DETR,the moment when performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,21,0.11428571428571428,missed_or_bad_boundary,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict"
TVSUM_31,Moment-DETR,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,18,0.13333333333333333,missed_or_bad_boundary,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference
TVSUM_31,Moment-DETR,a scene where performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,21,0.0625,missed_or_bad_boundary,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference
TVSUM_31,Moment-DETR,the event in which a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,22,0.14285714285714285,missed_or_bad_boundary,The 'Silence is Betrayal' campaign opens with a powerful introduction setting the stage for the Sydney Flash Mob for Syria
TVSUM_31,Moment-DETR,video segment showing a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,21,0.375,acceptable,A scene shows mothers holding their children to represent the emotional toll on families affected by the conflict
TVSUM_31,Moment-DETR,A scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,18,0.12903225806451613,missed_or_bad_boundary,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict"
TVSUM_31,Moment-DETR,a scene where a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,21,0.11428571428571428,missed_or_bad_boundary,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict"
TVSUM_31,Moment-DETR,the moment when a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,21,0.0,missed_or_bad_boundary,
TVSUM_31,Moment-DETR,The camera captures the crowd's somber reaction as onlookers process the intense message,13,0.11764705882352941,missed_or_bad_boundary,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict
TVSUM_31,Moment-DETR,a scene where the camera captures the crowd's somber reaction as onlookers process the intense message,16,0.16129032258064516,missed_or_bad_boundary,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict"
TVSUM_31,Moment-DETR,video segment showing the camera captures the crowd's somber reaction as onlookers process the intense message,16,0.11428571428571428,missed_or_bad_boundary,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict"
TVSUM_31,Moment-DETR,the moment when the camera captures the crowd's somber reaction as onlookers process the intense message,16,0.13333333333333333,missed_or_bad_boundary,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference
TVSUM_31,Moment-DETR,"the event in which protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",24,0.125,missed_or_bad_boundary,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity"
TVSUM_31,Moment-DETR,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",20,0.12903225806451613,missed_or_bad_boundary,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict"
TVSUM_31,Moment-DETR,"the moment when protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",23,0.11428571428571428,missed_or_bad_boundary,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict"
TVSUM_31,Moment-DETR,"video segment showing protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",23,0.08333333333333333,missed_or_bad_boundary,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict"
TVSUM_31,Moment-DETR,"a scene where protesters hold up 'free syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity",23,0.0,missed_or_bad_boundary,
TVSUM_31,Moment-DETR,"A group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",16,0.11764705882352941,missed_or_bad_boundary,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict
TVSUM_31,Moment-DETR,"video segment showing a group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",19,0.11764705882352941,missed_or_bad_boundary,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict
TVSUM_31,Moment-DETR,"the event in which a group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",20,0.2857142857142857,missed_or_bad_boundary,The camera captures the crowd's somber reaction as onlookers process the intense message
TVSUM_31,Moment-DETR,"a scene where a group stands in silence with eyes closed, symbolizing the world's blindness to the ongoing conflict",19,0.5,acceptable,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity"
TVSUM_31,Moment-DETR,"the event in which performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",23,0.2,missed_or_bad_boundary,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity"
TVSUM_31,Moment-DETR,"video segment showing performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",22,0.14285714285714285,missed_or_bad_boundary,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict"
TVSUM_31,Moment-DETR,"the moment when performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",22,0.11428571428571428,missed_or_bad_boundary,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict"
TVSUM_31,Moment-DETR,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",19,0.13333333333333333,missed_or_bad_boundary,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference
TVSUM_31,Moment-DETR,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,19,0.125,missed_or_bad_boundary,"Protesters hold up 'Free Syria' signs and refugee posters, while some participants kneel in prayer to represent hope and solidarity"
