video_id,method,query,query_length,best_iou,failure_type,matched_gt
TVSUM_32,Moment-DETR,"the moment when a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",37,0.08108108108108109,missed_or_bad_boundary,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal"
TVSUM_32,Moment-DETR,"the event in which a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",38,0.09090909090909091,missed_or_bad_boundary,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament"
TVSUM_32,Moment-DETR,"video segment showing a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",37,0.09090909090909091,missed_or_bad_boundary,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament"
TVSUM_32,Moment-DETR,"A student at Pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — ICC World T20 2014",34,0.09090909090909091,missed_or_bad_boundary,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament"
TVSUM_32,Moment-DETR,"a scene where a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",37,0.2222222222222222,missed_or_bad_boundary,"A group of people play cricket in the crowd, bringing the celebration to its peak energy"
TVSUM_32,Moment-DETR,"the event in which music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",22,0.08108108108108109,missed_or_bad_boundary,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal"
TVSUM_32,Moment-DETR,"a scene where music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",21,0.1111111111111111,missed_or_bad_boundary,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal"
TVSUM_32,Moment-DETR,"video segment showing music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",21,0.09090909090909091,missed_or_bad_boundary,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament"
TVSUM_32,Moment-DETR,"the moment when music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",21,0.09090909090909091,missed_or_bad_boundary,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament"
TVSUM_32,Moment-DETR,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",18,0.1875,missed_or_bad_boundary,"The entire crowd joins the dance in a massive celebration, capturing the vibrant atmosphere of the city"
