video_id,method,query,start,end,score,best_iou,matched_gt,matched_subjectivity
TVSUM_30,Moment-DETR,"the moment when the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",40.0,44.0,0.01,0.2222222222222222,"Commuters share how cycling helps them connect with new people, stay active and support the environment",1.0
TVSUM_30,Moment-DETR,"a scene where the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",59.0,63.0,0.01,0.0,,
TVSUM_30,Moment-DETR,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013",116.0,120.0,0.01,0.0,,
TVSUM_30,Moment-DETR,"the event in which the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",135.0,139.0,0.01,0.12903225806451613,A Belgium commuter describes the bike as the best way to explore the city and stay inspired,1.0
TVSUM_30,Moment-DETR,"video segment showing the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",148.0,152.0,0.01,0.12903225806451613,A Belgium commuter describes the bike as the best way to explore the city and stay inspired,1.0
TVSUM_30,Moment-DETR,"video segment showing commuters share how cycling helps them connect with new people, stay active and support the environment",24.0,28.0,0.01,0.15384615384615385,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013",2.0
TVSUM_30,Moment-DETR,"Commuters share how cycling helps them connect with new people, stay active and support the environment",43.0,47.0,0.01,0.2222222222222222,"Commuters share how cycling helps them connect with new people, stay active and support the environment",1.0
TVSUM_30,Moment-DETR,"a scene where commuters share how cycling helps them connect with new people, stay active and support the environment",78.0,82.0,0.01,0.16,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable",1.0
TVSUM_30,Moment-DETR,"the moment when commuters share how cycling helps them connect with new people, stay active and support the environment",95.0,99.0,0.01,0.11538461538461539,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable",1.0
TVSUM_30,Moment-DETR,"the event in which commuters share how cycling helps them connect with new people, stay active and support the environment",146.0,150.0,0.01,0.12903225806451613,A Belgium commuter describes the bike as the best way to explore the city and stay inspired,1.0
TVSUM_30,Moment-DETR,"a scene where local riders explain that cycling is a fast, fun, eco-friendly and affordable",1.0,5.0,0.01,0.034482758620689655,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013",2.0
TVSUM_30,Moment-DETR,"video segment showing local riders explain that cycling is a fast, fun, eco-friendly and affordable",35.0,39.0,0.01,0.2222222222222222,"Commuters share how cycling helps them connect with new people, stay active and support the environment",1.0
TVSUM_30,Moment-DETR,"the moment when local riders explain that cycling is a fast, fun, eco-friendly and affordable",49.0,54.0,0.01,0.045454545454545456,"Commuters share how cycling helps them connect with new people, stay active and support the environment",1.0
TVSUM_30,Moment-DETR,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable",102.0,106.0,0.01,0.0,,
TVSUM_30,Moment-DETR,the event in which a belgium commuter describes the bike as the best way to explore the city and stay inspired,7.0,11.0,0.01,0.15384615384615385,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013",2.0
TVSUM_30,Moment-DETR,A Belgium commuter describes the bike as the best way to explore the city and stay inspired,59.0,63.0,0.01,0.0,,
TVSUM_30,Moment-DETR,the moment when a belgium commuter describes the bike as the best way to explore the city and stay inspired,78.0,85.0,0.01,0.28,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable",1.0
TVSUM_30,Moment-DETR,a scene where a belgium commuter describes the bike as the best way to explore the city and stay inspired,125.0,129.0,0.01,0.12903225806451613,A Belgium commuter describes the bike as the best way to explore the city and stay inspired,1.0
