video_id,method,query,start,end,score,best_iou,matched_gt,matched_subjectivity
TVSUM_32,Moment-DETR,"the moment when a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",19.0,23.0,0.01,0.08108108108108109,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",2
TVSUM_32,Moment-DETR,"the event in which a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",58.0,62.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"video segment showing a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",88.0,92.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"A student at Pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — ICC World T20 2014",96.0,100.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"a scene where a student at pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — icc world t20 2014",109.0,113.0,0.01,0.2222222222222222,"A group of people play cricket in the crowd, bringing the celebration to its peak energy",1
TVSUM_32,Moment-DETR,"the event in which music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",19.0,23.0,0.01,0.08108108108108109,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",2
TVSUM_32,Moment-DETR,"a scene where music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",40.0,44.0,0.01,0.1111111111111111,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",2
TVSUM_32,Moment-DETR,"video segment showing music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",69.0,73.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"the moment when music starts and a group of pust students begin a dance, drawing a massive crowd at the terminal",97.0,101.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",122.0,126.0,0.01,0.1875,"The entire crowd joins the dance in a massive celebration, capturing the vibrant atmosphere of the city",1
TVSUM_32,Moment-DETR,"video segment showing a local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",11.0,17.0,0.01,0.3333333333333333,"A student at Pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — ICC World T20 2014",2
TVSUM_32,Moment-DETR,"a scene where a local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",49.0,53.0,0.01,0.1111111111111111,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",2
TVSUM_32,Moment-DETR,"the event in which a local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",79.0,83.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"the moment when a local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",98.0,102.0,0.01,0.06666666666666667,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"the moment when a group of people play cricket in the crowd, bringing the celebration to its peak energy",14.0,18.0,0.01,0.2222222222222222,"A student at Pabna bus terminal kicks off the flash mob by picking up a hat and throwing a ball, branding it as the biggest event of the year — ICC World T20 2014",2
TVSUM_32,Moment-DETR,"video segment showing a group of people play cricket in the crowd, bringing the celebration to its peak energy",55.0,59.0,0.01,0.043478260869565216,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"a scene where a group of people play cricket in the crowd, bringing the celebration to its peak energy",68.0,72.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"A group of people play cricket in the crowd, bringing the celebration to its peak energy",125.0,133.0,0.01,0.5333333333333333,"The entire crowd joins the dance in a massive celebration, capturing the vibrant atmosphere of the city",1
TVSUM_32,Moment-DETR,"A karate group integrates martial arts moves into the routine, adding unique energy to the celebration",30.0,35.0,0.01,0.1388888888888889,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",2
TVSUM_32,Moment-DETR,"the event in which a karate group integrates martial arts moves into the routine, adding unique energy to the celebration",55.0,59.0,0.01,0.043478260869565216,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"video segment showing a karate group integrates martial arts moves into the routine, adding unique energy to the celebration",63.0,67.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"the moment when a karate group integrates martial arts moves into the routine, adding unique energy to the celebration",83.0,87.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"a scene where the entire crowd joins the dance in a massive celebration, capturing the vibrant atmosphere of the city",24.0,28.0,0.01,0.1111111111111111,"Music starts and a group of PUST students begin a dance, drawing a massive crowd at the terminal",2
TVSUM_32,Moment-DETR,"The entire crowd joins the dance in a massive celebration, capturing the vibrant atmosphere of the city",56.0,60.0,0.01,0.06666666666666667,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
TVSUM_32,Moment-DETR,"video segment showing the entire crowd joins the dance in a massive celebration, capturing the vibrant atmosphere of the city",79.0,83.0,0.01,0.09090909090909091,"A local girl joins the performance and leads the dance, showcasing the community's excitement for the tournament",1
