video_id,method,query,start,end,score,best_iou,matched_gt,matched_subjectivity
TVSUM_31,Moment-DETR,the event in which the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,50.0,54.0,0.01,0.11764705882352941,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,2.0
TVSUM_31,Moment-DETR,video segment showing the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,58.0,62.0,0.01,0.1,A scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,1.0
TVSUM_31,Moment-DETR,the moment when the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,73.0,77.0,0.01,0.2857142857142857,The camera captures the crowd's somber reaction as onlookers process the intense message,1.0
TVSUM_31,Moment-DETR,The 'Silence is Betrayal' campaign opens with a powerful introduction setting the stage for the Sydney Flash Mob for Syria,82.0,86.0,0.01,0.2,The camera captures the crowd's somber reaction as onlookers process the intense message,1.0
TVSUM_31,Moment-DETR,a scene where the 'silence is betrayal' campaign opens with a powerful introduction setting the stage for the sydney flash mob for syria,188.0,192.0,0.01,0.13333333333333333,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,2.0
TVSUM_31,Moment-DETR,the event in which performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,18.0,22.0,0.01,0.14285714285714285,The 'Silence is Betrayal' campaign opens with a powerful introduction setting the stage for the Sydney Flash Mob for Syria,2.0
TVSUM_31,Moment-DETR,video segment showing performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,75.0,79.0,0.01,0.2857142857142857,The camera captures the crowd's somber reaction as onlookers process the intense message,1.0
TVSUM_31,Moment-DETR,the moment when performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,138.0,142.0,0.01,0.11428571428571428,"Performers fall to the ground as symbolic shooters target the group, representing the loss of life in the conflict",2.0
TVSUM_31,Moment-DETR,Performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,185.0,189.0,0.01,0.13333333333333333,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,2.0
TVSUM_31,Moment-DETR,a scene where performers freeze in a human statue formation to depict the suffering and loss of life during the conflict,197.0,201.0,0.01,0.0625,The flash mob concludes with the 'Silence is Betrayal' poster as a final call to action against global indifference,2.0
TVSUM_31,Moment-DETR,the event in which a scene shows mothers holding their children to represent the emotional toll on families affected by the conflict,0.0,4.0,0.01,0.14285714285714285,The 'Silence is Betrayal' campaign opens with a powerful introduction setting the stage for the Sydney Flash Mob for Syria,2.0
